Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central Europe and the Baltics,2039000000,1974000000,1655000000,2142000000,3055000000,2711000000,1749000000,1806000000,1972000000,2304000000,2143000000,2033000000,1941000000,2268000000,2603000000,2494000000,1826000000,2159000000,2946000000,2578000000,2577000000,2409000000,1959000000,1750000000,1952000000,2081000000,2837000000,1757000000,1374000000,1175000000,1606000000,504000000,436000000,1170000000,226000000,521000000,521000000,229000000,241000000,275000000,234000000,255000000,367000000,540000000,691000000,1315000000,889000000,1411000000,1056000000,479000000,411000000,401000000,304000000,280000000,302000000,212000000,,351000000,208000000,404000000,597000000,482000000,1063000000
Switzerland,219000000,37000000,4000000,52000000,263000000,228000000,373000000,177000000,199000000,166000000,141000000,147000000,185000000,115000000,63000000,136000000,142000000,4000000,217000000,226000000,272000000,289000000,175000000,442000000,404000000,341000000,108000000,151000000,179000000,318000000,438000000,474000000,386000000,102000000,118000000,93000000,187000000,379000000,435000000,506000000,22000000,67000000,62000000,117000000,203000000,168000000,83000000,108000000,17000000,39000000,48000000,32000000,10000000,6000000,5000000,12000000,73000000,34000000,10000000,10000000,10000000,10000000,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,304000000,38000000,19000000,127000000,34000000,57000000,74000000,150000000,70000000,21000000,57000000,198000000,51000000,278000000,292000000,184000000,415000000,58000000,157000000,138000000,147000000,148000000,343000000,140000000,448000000,8000000,171000000,154000000,84000000,140000000,135000000,109000000,170000000,85000000,81000000,332000000,164000000,285000000,88000000,207000000,226000000,60000000,74000000,187000000,70000000,446000000,1093000000,655000000,391000000,328000000,473000000,327000000,62000000,55000000,140000000,145000000,40000000,49000000,73000000,33000000,295000000,57000000,212000000
China,2431000000,936000000,307000000,450000000,395000000,212000000,227000000,145000000,182000000,2000000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,75000000,86000000,10000000,6000000,2000000,13000000,25000000,71000000,113000000,20000000,56000000,104000000,199000000,306000000,477000000,1211000000,1243000000,320000000,716000000,1511000000,945000000,401000000,1746000000,2517000000,2805000000,2865000000,2325000000,3225000000,3481000000,2840000000,1642000000,1808000000,1403000000,942000000,1054000000,1573000000,1293000000,1082000000,1231000000,1143000000,1306000000,2119000000,1503000000,884000000,981000000,807000000
Cote d'Ivoire,,3000000,1000000,1000000,,,2000000,3000000,26000000,2000000,7000000,17000000,1000000,,18000000,,,22000000,16000000,38000000,55000000,18000000,,,9000000,,,,,2000000,,,0,,,2000000,,0,,2000000,0,,31000000,61000000,9000000,,,,,,,,,,6000000,5000000,5000000,14000000,9000000,15000000,3000000,10000000,16000000
Cameroon,,0,,2000000,0,2000000,2000000,3000000,3000000,,,8000000,1000000,12000000,,,29000000,73000000,,1000000,,28000000,113000000,5000000,126000000,16000000,11000000,5000000,1000000,3000000,8000000,,3000000,,,,4000000,6000000,9000000,4000000,,6000000,10000000,,,5000000,2000000,,1000000,,10000000,,9000000,139000000,122000000,9000000,20000000,8000000,2000000,4000000,0,3000000,2000000
"Congo, Dem. Rep.",2000000,9000000,13000000,32000000,83000000,31000000,26000000,16000000,7000000,28000000,19000000,165000000,15000000,5000000,9000000,445000000,132000000,31000000,38000000,15000000,10000000,12000000,15000000,5000000,16000000,1000000,1000000,36000000,1000000,,5000000,,2000000,,,0,61000000,6000000,10000000,46000000,88000000,11000000,18000000,,,26000000,24000000,,18000000,37000000,151000000,,10000000,1000000,,3000000,43000000,,1000000,,6000000,,1000000
"Congo, Rep.",1000000,1000000,,0,,0,,,1000000,24000000,9000000,27000000,2000000,,7000000,2000000,2000000,,35000000,25000000,17000000,3000000,11000000,25000000,25000000,3000000,,,28000000,44000000,44000000,18000000,,,,,,27000000,0,1000000,0,,,8000000,7000000,4000000,1000000,0,,4000000,28000000,5000000,23000000,33000000,6000000,2000000,,,0,3000000,,3000000,
Colombia,5000000,62000000,3000000,29000000,9000000,18000000,32000000,15000000,32000000,121000000,4000000,36000000,167000000,159000000,1000000,287000000,10000000,8000000,12000000,36000000,12000000,28000000,18000000,303000000,662000000,7000000,6000000,4000000,37000000,218000000,13000000,72000000,36000000,68000000,42000000,35000000,49000000,190000000,162000000,44000000,60000000,268000000,170000000,145000000,18000000,18000000,54000000,226000000,109000000,249000000,261000000,145000000,207000000,171000000,167000000,193000000,18000000,91000000,16000000,22000000,77000000,44000000,44000000
Comoros,,,,,,,,,,,,,,,,,1000000,1000000,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,6000000,,,,1000000,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,2000000,,,18000000,,,26000000,,,,,,,,,,7000000,,,,,,9000000,,1000000,,,,,,,,,2000000,,,10000000,,,,,,,3000000,,,
Costa Rica,,,,1000000,,,0,,,,,,,1000000,,3000000,,,6000000,2000000,0,,,,0,1000000,1000000,,,2000000,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,0,8000000,,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,153000000,523000000,1320000000,283000000,247000000,130000000,232000000,162000000,155000000,155000000,155000000,162000000,452000000,420000000,408000000,200000000,316000000,609000000,503000000,410000000,349000000,964000000,964000000,770000000,426000000,352000000,281000000,73000000,167000000,94000000,169000000,159000000,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,18000000,22000000,,,,,,,,9000000,,,,,,,,,5000000,19000000,24000000,33000000,40000000,34000000,124000000,28000000,70000000,83000000,26000000,10000000,39000000,33000000,170000000,98000000,7000000,113000000,4000000,180000000,66000000,6000000,16000000,18000000,20000000,17000000,,,44000000,41000000,6000000,,,,,30000000,,19000000,30000000,11000000,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,25000000,6000000,0,1000000,13000000,57000000,42000000,94000000,6000000,592000000,46000000,10000000,25000000,6000000,13000000,71000000,22000000,15000000,,0,,,7000000,1000000,9000000,33000000,69000000
Germany,2054000000,2039000000,2478000000,3297000000,3723000000,3323000000,3211000000,1351000000,1218000000,1243000000,1407000000,2404000000,853000000,1742000000,2132000000,1835000000,1387000000,1042000000,691000000,65000000,150000000,261000000,453000000,434000000,412000000,130000000,310000000,320000000,429000000,707000000,716000000,694000000,685000000,535000000,423000000,228000000,246000000,60000000,543000000,129000000,113000000,133000000,71000000,63000000,237000000,199000000,406000000,71000000,278000000,331000000,282000000,84000000,131000000,113000000,95000000,96000000,55000000,43000000,14000000,38000000,53000000,192000000,182000000
Djibouti,,,,,,,,,,,,,,,,,,3000000,6000000,36000000,5000000,2000000,3000000,3000000,,1000000,8000000,1000000,,,,1000000,19000000,5000000,,2000000,,,,,1000000,,3000000,,4000000,7000000,,,,,,,6000000,5000000,15000000,1000000,10000000,,,8000000,1000000,45000000,17000000
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,139000000,335000000,58000000,134000000,482000000,449000000,66000000,72000000,71000000,19000000,312000000,362000000,111000000,,39000000,149000000,356000000,368000000,362000000,57000000,483000000,479000000,473000000,231000000,72000000,89000000,16000000,99000000,98000000,187000000,128000000,154000000,72000000,51000000,88000000,134000000,75000000,77000000,116000000,70000000,50000000,146000000,40000000,50000000,232000000,116000000,84000000,133000000,93000000,130000000,17000000,,101000000,38000000,165000000,42000000,101000000,52000000,49000000,43000000,62000000,303000000,145000000
Dominican Republic,19000000,11000000,0,7000000,5000000,10000000,9000000,1000000,1000000,0,1000000,2000000,7000000,0,,2000000,12000000,,,,9000000,5000000,31000000,,25000000,2000000,0,,3000000,,,,,,,,4000000,,6000000,1000000,13000000,5000000,0,8000000,35000000,2000000,,,,10000000,50000000,12000000,,,,1000000,0,,,,4000000,,5000000
Algeria,,7000000,61000000,85000000,177000000,350000000,437000000,524000000,57000000,79000000,14000000,14000000,180000000,110000000,13000000,56000000,130000000,1048000000,1264000000,1823000000,1342000000,1386000000,1357000000,697000000,656000000,368000000,146000000,367000000,319000000,455000000,733000000,1035000000,23000000,22000000,186000000,299000000,83000000,37000000,98000000,370000000,402000000,539000000,249000000,195000000,242000000,159000000,340000000,507000000,1517000000,1070000000,831000000,1132000000,660000000,361000000,710000000,894000000,2911000000,1133000000,1282000000,167000000,675000000,237000000,158000000
East Asia & Pacific (excluding high income),3484000000,2040000000,1808000000,1260000000,1741000000,1669000000,2596000000,2510000000,2884000000,1798000000,2198000000,,,,2201000000,1752000000,1563000000,1111000000,1351000000,2623000000,3031000000,2706000000,1768000000,2545000000,2149000000,2309000000,2107000000,1916000000,2030000000,1676000000,1535000000,1592000000,1923000000,2138000000,2003000000,3056000000,3128000000,3032000000,1073000000,3315000000,2821000000,3258000000,3462000000,3145000000,4023000000,4090000000,3444000000,2968000000,2868000000,3359000000,1736000000,3335000000,3449000000,3350000000,3784000000,3300000000,3553000000,4221000000,4115000000,2697000000,1989000000,2292000000,1907000000
Early-demographic dividend,2728000000,,3550000000,3866000000,4593000000,4800000000,6540000000,7515000000,7931000000,9074000000,8294000000,11332000000,12957000000,15418000000,15572000000,15470000000,15334000000,20811000000,19493000000,14898000000,17006000000,19368000000,20026000000,17203000000,13868000000,12959000000,15824000000,15878000000,11736000000,10179000000,11238000000,10560000000,8566000000,10755000000,9678000000,8181000000,7464000000,10066000000,10394000000,9359000000,6234000000,5349000000,7086000000,6369000000,7724000000,6496000000,7507000000,9420000000,8642000000,7973000000,10493000000,12136000000,12301000000,14183000000,12690000000,13452000000,15462000000,15099000000,11787000000,12332000000,10342000000,11235000000,10148000000
